"BookTitle","AuthorName","BookRating"
"Well-Schooled in Murder (Inspector Lynley, #3)","Elizabeth  George","4.11"
"Liberty Falling (Anna Pigeon, #7)","Nevada Barr","3.78"
"Murder at Irish Mensa  (Mensa Mystery Series, #1)","Clare O'Beara","3.33"
"Where the Devil Can't Go (Kiszka and Kershaw, #1)","Anya Lipska","3.81"
"Three to Get Deadly (Stephanie Plum, #3)","Janet Evanovich","4.14"
"Still Life (Chief Inspector Armand Gamache, #1)","Louise Penny","3.89"
"The Skull Mantra (Inspector Shan, #1)","Eliot Pattison","3.99"
"Voor ik ga slapen","S.J. Watson","3.88"
"The Shadow Year","Hannah Richell","3.91"
"De schaduw van de wind (Het Kerkhof der Vergeten Boeken, #1)","Carlos Ruiz Zaf¢n","4.25"
"Destroyer Angel (Anna Pigeon, #18)","Nevada Barr","3.82"
"Through the Evil Days (Rev. Clare Fergusson & Russ Van Alstyne Mysteries, #8)","Julia Spencer-Fleming","4.07"
"Price of Justice","Alan Brenham","4.30"
"The Blessing Way (Leaphorn & Chee, #1)","Tony Hillerman","4.06"
"Lady Killer","David Krae","reall"
"Heat Lightning (Virgil Flowers, #2)","John Sandford","4.17"
"Unnatural Death (Lord Peter Wimsey, #3)","Dorothy L. Sayers","4.10"
"Knots and Crosses (Inspector Rebus, #1)","Ian Rankin","3.84"
"Het testament","John Grisham","3.84"
"In Pursuit of the Proper Sinner (Inspector Lynley, #10)","Elizabeth  George","4.08"
"Devil Bones (Temperance Brennan, #11)","Kathy Reichs","3.89"
"Skinwalkers (Leaphorn & Chee, #7)","Tony Hillerman","4.03"
"We Need to Talk About Kevin","Lionel Shriver","4.07"
"Deception on His Mind (Inspector Lynley, #9)","Elizabeth  George","4.03"
"Standing in Another Man's Grave (Inspector Rebus, #18)","Ian Rankin","4.06"
"Perfume: The Story of a Murderer","Patrick SÅskind","4.01"
"The Tin Roof Blowdown (Dave Robicheaux, #16)","James Lee Burke","4.17"
"As The Crow Flies (Walt Longmire, #8)","Craig Johnson","4.29"
"Death by Darjeeling (A Tea Shop Mystery, #1)","Laura Childs","3.73"
"The Killings at Badger's Drift (Chief Inspector Barnaby #1)","Caroline Graham","3.94"
"Friday the Rabbi Slept Late (The Rabbi Small Mysteries #1)","Harry Kemelman","3.82"
"X (Kinsey Millhone, #24)","Sue Grafton","3.89"
"Flying Finish","Dick Francis","3.92"
"The Wailing Wind (Leaphorn  & Chee, #15)","Tony Hillerman","4.05"
"Open Season (Joe Pickett, #1)","C.J. Box","3.91"
"Blue Lightning (Shetland Island, #4)","Ann Cleeves","4.05"
"Flesh and Blood (Kay Scarpetta, #22)","Patricia Cornwell","3.68"
"Another Man's Moccasins (Walt Longmire, #4)","Craig Johnson","4.24"
"Firestorm (Anna Pigeon, #4)","Nevada Barr","3.99"
"This Body of Death (Inspector Lynley, #16)","Elizabeth  George","4.02"
"The Blue Nowhere","Jeffery Deaver","3.96"
"Shock Wave (Virgil Flowers, #5)","John Sandford","4.20"
"Missing Joseph (Inspector Lynley, #6)","Elizabeth  George","3.96"
"Indemnity Only (V.I. Warshawski, #1)","Sara Paretsky","3.90"
"Buried Prey (Lucas Davenport, #21)","John Sandford","4.24"
"Storm Prey (Lucas Davenport, #20)","John Sandford","4.15"
"Remains of Innocence (Joanna Brady, #16)","J.A. Jance","4.10"
"W is for Wasted (Kinsey Millhone, #23)","Sue Grafton","3.88"
"Don't Go","Lisa Scottoline","3.73"
"Shakespeare's Trollop (Lily Bard, #4)","Charlaine Harris","3.86"
"Hard Truth (Anna Pigeon, #13)","Nevada Barr","3.81"
"Shakespeare's Landlord (Lily Bard, #1)","Charlaine Harris","3.76"
"Secret Prey (Lucas Davenport, #9)","John Sandford","4.25"
"Grotesque","Natsuo Kirino","3.68"
"Hunting Season (Anna Pigeon, #10)","Nevada Barr","3.84"
"Red Bones (Shetland Island, #3)","Ann Cleeves","3.99"
